,TABLAS,CREATE,UPDATE,DELETE,VIEW
,AperturaCaja,CREATE_APERTURACAJA,UPDATE_APERTURACAJA,DELETE_APERTURACAJA,VIEW_APERTURACAJA
,Caja,CREATE_CAJA,UPDATE_CAJA,DELETE_CAJA,VIEW_CAJA
,CategoriaEmpresa,CREATE_CATEGORIAEMPRESA,UPDATE_CATEGORIAEMPRESA,DELETE_CATEGORIAEMPRESA,VIEW_CATEGORIAEMPRESA
,Ciudad,CREATE_CIUDAD,UPDATE_CIUDAD,DELETE_CIUDAD,VIEW_CIUDAD
,Cliente,CREATE_CLIENTE,UPDATE_CLIENTE,DELETE_CLIENTE,VIEW_CLIENTE
,CondicionPago,CREATE_CONDICIONPAGO,UPDATE_CONDICIONPAGO,DELETE_CONDICIONPAGO,VIEW_CONDICIONPAGO
,CotizacionCliente,CREATE_COTIZACIONCLIENTE,UPDATE_COTIZACIONCLIENTE,DELETE_COTIZACIONCLIENTE,VIEW_COTIZACIONCLIENTE
,CotizacionProveedor,CREATE_COTIZACIONPROVEEDOR,UPDATE_COTIZACIONPROVEEDOR,DELETE_COTIZACIONPROVEEDOR,VIEW_COTIZACIONPROVEEDOR
,DetalleCotizacionCliente,CREATE_DETALLECOTIZACIONCLIENTE,UPDATE_DETALLECOTIZACIONCLIENTE,DELETE_DETALLECOTIZACIONCLIENTE,VIEW_DETALLECOTIZACIONCLIENTE
,DetalleCotizacionProv,CREATE_DETALLECOTIZACIONPROV,UPDATE_DETALLECOTIZACIONPROV,DELETE_DETALLECOTIZACIONPROV,VIEW_DETALLECOTIZACIONPROV
,DetallePagoFacCliente,CREATE_DETALLEPAGOFACCLIENTE,UPDATE_DETALLEPAGOFACCLIENTE,DELETE_DETALLEPAGOFACCLIENTE,VIEW_DETALLEPAGOFACCLIENTE
,DetallePagoFacProv,CREATE_DETALLEPAGOFACPROV,UPDATE_DETALLEPAGOFACPROV,DELETE_DETALLEPAGOFACPROV,VIEW_DETALLEPAGOFACPROV
,Empresa,CREATE_EMPRESA,UPDATE_EMPRESA,DELETE_EMPRESA,VIEW_EMPRESA
,EstadoCaja,CREATE_ESTADOCAJA,UPDATE_ESTADOCAJA,DELETE_ESTADOCAJA,VIEW_ESTADOCAJA
,EstadoCotizacionCliente,CREATE_ESTADOCOTIZACIONCLIENTE,UPDATE_ESTADOCOTIZACIONCLIENTE,DELETE_ESTADOCOTIZACIONCLIENTE,VIEW_ESTADOCOTIZACIONCLIENTE
,EstadoCotizacionProv,CREATE_ESTADOCOTIZACIONPROV,UPDATE_ESTADOCOTIZACIONPROV,DELETE_ESTADOCOTIZACIONPROV,VIEW_ESTADOCOTIZACIONPROV
,EstadoFactuCliente,CREATE_ESTADOFACTUCLIENTE,UPDATE_ESTADOFACTUCLIENTE,DELETE_ESTADOFACTUCLIENTE,VIEW_ESTADOFACTUCLIENTE
,EstadoFacturaProv,CREATE_ESTADOFACTURAPROV,UPDATE_ESTADOFACTURAPROV,DELETE_ESTADOFACTURAPROV,VIEW_ESTADOFACTURAPROV
,EstadoMateriaPrima,CREATE_ESTADOMATERIAPRIMA,UPDATE_ESTADOMATERIAPRIMA,DELETE_ESTADOMATERIAPRIMA,VIEW_ESTADOMATERIAPRIMA
,EstadoNota,CREATE_ESTADONOTA,UPDATE_ESTADONOTA,DELETE_ESTADONOTA,VIEW_ESTADONOTA
,EstadoOrdenCompra,CREATE_ESTADOORDENCOMPRA,UPDATE_ESTADOORDENCOMPRA,DELETE_ESTADOORDENCOMPRA,VIEW_ESTADOORDENCOMPRA
,EstadoOrdenProd,CREATE_ESTADOORDENPROD,UPDATE_ESTADOORDENPROD,DELETE_ESTADOORDENPROD,VIEW_ESTADOORDENPROD
,EstadoPedido,CREATE_ESTADOPEDIDO,UPDATE_ESTADOPEDIDO,DELETE_ESTADOPEDIDO,VIEW_ESTADOPEDIDO
,EstadoPermiso,CREATE_ESTADOPERMISO,UPDATE_ESTADOPERMISO,DELETE_ESTADOPERMISO,VIEW_ESTADOPERMISO
,EstadoProducto,CREATE_ESTADOPRODUCTO,UPDATE_ESTADOPRODUCTO,DELETE_ESTADOPRODUCTO,VIEW_ESTADOPRODUCTO
,EstadoRol,CREATE_ESTADOROL,UPDATE_ESTADOROL,DELETE_ESTADOROL,VIEW_ESTADOROL
,EstadoUsuario,CREATE_ESTADOUSUARIO,UPDATE_ESTADOUSUARIO,DELETE_ESTADOUSUARIO,VIEW_ESTADOUSUARIO
,FacturaClienteContado,CREATE_FACTURACLIENTECONTADO,UPDATE_FACTURACLIENTECONTADO,DELETE_FACTURACLIENTECONTADO,VIEW_FACTURACLIENTECONTADO
,FacturaClienteCredito,CREATE_FACTURACLIENTECREDITO,UPDATE_FACTURACLIENTECREDITO,DELETE_FACTURACLIENTECREDITO,VIEW_FACTURACLIENTECREDITO
,FacturaContadoProv,CREATE_FACTURACONTADOPROV,UPDATE_FACTURACONTADOPROV,DELETE_FACTURACONTADOPROV,VIEW_FACTURACONTADOPROV
,FacturaCreditoProv,CREATE_FACTURACREDITOPROV,UPDATE_FACTURACREDITOPROV,DELETE_FACTURACREDITOPROV,VIEW_FACTURACREDITOPROV
,Impuestos,CREATE_IMPUESTOS,UPDATE_IMPUESTOS,DELETE_IMPUESTOS,VIEW_IMPUESTOS
,Informe,CREATE_INFORME,UPDATE_INFORME,DELETE_INFORME,VIEW_INFORME
,MateriaPrima,CREATE_MATERIAPRIMA,UPDATE_MATERIAPRIMA,DELETE_MATERIAPRIMA,VIEW_MATERIAPRIMA
,MetodoPago,CREATE_METODOPAGO,UPDATE_METODOPAGO,DELETE_METODOPAGO,VIEW_METODOPAGO
,Nota,CREATE_NOTA,UPDATE_NOTA,DELETE_NOTA,VIEW_NOTA
,Notificacion,CREATE_NOTIFICACION,UPDATE_NOTIFICACION,DELETE_NOTIFICACION,VIEW_NOTIFICACION
,OrdenCompra,CREATE_ORDENCOMPRA,UPDATE_ORDENCOMPRA,DELETE_ORDENCOMPRA,VIEW_ORDENCOMPRA
,OrdenProduccion,CREATE_ORDENPRODUCCION,UPDATE_ORDENPRODUCCION,DELETE_ORDENPRODUCCION,VIEW_ORDENPRODUCCION
,PedidoCliente,CREATE_PEDIDOCLIENTE,UPDATE_PEDIDOCLIENTE,DELETE_PEDIDOCLIENTE,VIEW_PEDIDOCLIENTE
,PedidoDetalle,CREATE_PEDIDODETALLE,UPDATE_PEDIDODETALLE,DELETE_PEDIDODETALLE,VIEW_PEDIDODETALLE
,Permiso,CREATE_PERMISO,UPDATE_PERMISO,DELETE_PERMISO,VIEW_PERMISO
,Persona,CREATE_PERSONA,UPDATE_PERSONA,DELETE_PERSONA,VIEW_PERSONA
,Producto,CREATE_PRODUCTO,UPDATE_PRODUCTO,DELETE_PRODUCTO,VIEW_PRODUCTO
,Proveedor,CREATE_PROVEEDOR,UPDATE_PROVEEDOR,DELETE_PROVEEDOR,VIEW_PROVEEDOR
,Rol,CREATE_ROL,UPDATE_ROL,DELETE_ROL,VIEW_ROL
,RolPermiso,CREATE_ROLPERMISO,UPDATE_ROLPERMISO,DELETE_ROLPERMISO,VIEW_ROLPERMISO
,SectorCliente,CREATE_SECTORCLIENTE,UPDATE_SECTORCLIENTE,DELETE_SECTORCLIENTE,VIEW_SECTORCLIENTE
,SpatialRefSys,CREATE_SPATIALREFSYS,UPDATE_SPATIALREFSYS,DELETE_SPATIALREFSYS,VIEW_SPATIALREFSYS
,TipoDocumento,CREATE_TIPODOCUMENTO,UPDATE_TIPODOCUMENTO,DELETE_TIPODOCUMENTO,VIEW_TIPODOCUMENTO
,TipoInforme,CREATE_TIPOINFORME,UPDATE_TIPOINFORME,DELETE_TIPOINFORME,VIEW_TIPOINFORME
,TipoNota,CREATE_TIPONOTA,UPDATE_TIPONOTA,DELETE_TIPONOTA,VIEW_TIPONOTA
,TipoPersona,CREATE_TIPOPERSONA,UPDATE_TIPOPERSONA,DELETE_TIPOPERSONA,VIEW_TIPOPERSONA
,TipoProducto,CREATE_TIPOPRODUCTO,UPDATE_TIPOPRODUCTO,DELETE_TIPOPRODUCTO,VIEW_TIPOPRODUCTO
,TipoTransaccion,CREATE_TIPOTRANSACCION,UPDATE_TIPOTRANSACCION,DELETE_TIPOTRANSACCION,VIEW_TIPOTRANSACCION
,TransaccionCaja,CREATE_TRANSACCIONCAJA,UPDATE_TRANSACCIONCAJA,DELETE_TRANSACCIONCAJA,VIEW_TRANSACCIONCAJA
,UnidadMedida,CREATE_UNIDADMEDIDA,UPDATE_UNIDADMEDIDA,DELETE_UNIDADMEDIDA,VIEW_UNIDADMEDIDA
,Usuario,CREATE_USUARIO,UPDATE_USUARIO,DELETE_USUARIO,VIEW_USUARIO
